"","term_name","source","p_value","intersection_gene","gene","gene_log2FC","padj"
"1","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SLC24A2","SLC24A2_M1",-1.40535663659122,3.2809945533343e-06
"2","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M1",-1.56643876932946,4.56924104225646e-06
"3","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SLC4A10","SLC4A10_M1",-1.09055271319471,0.000204039184351963
"4","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"FAM107A","FAM107A_M1",-1.26773150123051,0.000474949087604184
"5","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"KCNJ10","KCNJ10_M1",-1.55530387894029,0.00619309858812433
"6","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"SLC24A2","SLC24A2_M2",-1.40535663659122,3.2809945533343e-06
"7","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M2",-1.56643876932946,4.56924104225646e-06
"8","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"SLC4A10","SLC4A10_M2",-1.09055271319471,0.000204039184351963
"9","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"FAM107A","FAM107A_M2",-1.26773150123051,0.000474949087604184
"10","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"KCNJ10","KCNJ10_M2",-1.55530387894029,0.00619309858812433
"11","M3 synaptic transmission, glutamatergic","GO:BP",9.96081692023264e-09,"GRM5","GRM5_M3",-1.56643876932946,4.56924104225646e-06
"12","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"GRM5","GRM5_M4",-1.56643876932946,4.56924104225646e-06
"13","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"SLC4A10","SLC4A10_M4",-1.09055271319471,0.000204039184351963
"14","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"KCNJ10","KCNJ10_M4",-1.55530387894029,0.00619309858812433
"15","M5 postsynaptic density","GO:CC",0.00138338906140407,"GRM5","GRM5_M5",-1.56643876932946,4.56924104225646e-06
"16","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"GRM5","GRM5_M6",-1.56643876932946,4.56924104225646e-06
"17","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"GABRB1","GABRB1_M6",-1.11977712077771,0.0112291583508081
"18","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"TBXA2R","TBXA2R_M6",-2.36982641242512,0.0139348252489035
"19","M7 nervous system development","GO:BP",6.11124783815365e-11,"GRM5","GRM5_M7",-1.56643876932946,4.56924104225646e-06
"20","M7 nervous system development","GO:BP",6.11124783815365e-11,"SLC4A10","SLC4A10_M7",-1.09055271319471,0.000204039184351963
"21","M7 nervous system development","GO:BP",6.11124783815365e-11,"PCDHA4","PCDHA4_M7",-1.38191220575577,0.00148319941691633
"22","M7 nervous system development","GO:BP",6.11124783815365e-11,"KCNJ10","KCNJ10_M7",-1.55530387894029,0.00619309858812433
"23","M7 nervous system development","GO:BP",6.11124783815365e-11,"NDRG1","NDRG1_M7",-1.08536688503337,0.00635861510721658
"24","M7 nervous system development","GO:BP",6.11124783815365e-11,"NEGR1","NEGR1_M7",-1.03831705156248,0.00673240647060093
"25","M7 nervous system development","GO:BP",6.11124783815365e-11,"GABRB1","GABRB1_M7",-1.11977712077771,0.0112291583508081
"26","M7 nervous system development","GO:BP",6.11124783815365e-11,"PLXND1","PLXND1_M7",-1.72439502242362,0.0166701052283063
"27","M7 nervous system development","GO:BP",6.11124783815365e-11,"SFRP1","SFRP1_M7",-1.72087089976211,0.0380095637310801
"28","M8 neurogenesis","GO:BP",1.81301431808331e-06,"GRM5","GRM5_M8",-1.56643876932946,4.56924104225646e-06
"29","M8 neurogenesis","GO:BP",1.81301431808331e-06,"SLC4A10","SLC4A10_M8",-1.09055271319471,0.000204039184351963
"30","M8 neurogenesis","GO:BP",1.81301431808331e-06,"KCNJ10","KCNJ10_M8",-1.55530387894029,0.00619309858812433
"31","M8 neurogenesis","GO:BP",1.81301431808331e-06,"NDRG1","NDRG1_M8",-1.08536688503337,0.00635861510721658
"32","M8 neurogenesis","GO:BP",1.81301431808331e-06,"NEGR1","NEGR1_M8",-1.03831705156248,0.00673240647060093
"33","M8 neurogenesis","GO:BP",1.81301431808331e-06,"GABRB1","GABRB1_M8",-1.11977712077771,0.0112291583508081
"34","M8 neurogenesis","GO:BP",1.81301431808331e-06,"PLXND1","PLXND1_M8",-1.72439502242362,0.0166701052283063
"35","M8 neurogenesis","GO:BP",1.81301431808331e-06,"SFRP1","SFRP1_M8",-1.72087089976211,0.0380095637310801
